"id","performer_id","event_name","theme_name","talent_name","location","description","image_profile","rate","average_rating","phone","experience","genres","performer_type","availability_status","created_at","updated_at"
"1","2","Birthday","Retro","musician,singer","Mandaue, Central Visayas, Philippines",NULL,"profile_images/OyFWyu00OZKU2RzJBzfTJ46BtRJzJNTV9aj2QuhV.jpg","1000",NULL,"424-0115","4","Rock","group","Available","2025-01-02 21:21:04","2025-01-15 17:18:53"
"2","3","Birthday","Casual","Singer","Tabok, Mandaue, 6014 Central Visayas, Philippines",NULL,"profile_images/2xFyfLschYrlocGA6HNjvWQgMXWUCyrBKuNmwJP3.jpg","1000","3.00","09123213","2",NULL,"solo","Available","2025-01-02 21:21:59","2025-01-06 17:23:09"
"3","6","Birthday","Disco","Singer","6017 Cordova, Philippines",NULL,"profile_images/bHS8m4YlrcNfBDoSQW9OSNbBjHFGPpMY0OJEreRn.jpg","1000",NULL,NULL,NULL,NULL,"solo","Available","2025-01-02 22:26:02","2025-01-02 22:32:00"
"4","7","Birthday","Retro","Dancer","Cebu Printing & Packaging Corporation, 1054 Hernan Cortes Street, Bamboo Bay Community, Mandaue, 6014 Central Visayas, Philippines",NULL,"profile_images/OopsqXW0KS2kvsPYDZ7n8funtpxoqwAySgbkSEQN.jpg","1500",NULL,NULL,NULL,NULL,"solo","Available","2025-01-02 22:26:08","2025-01-02 22:35:23"
"5","8","Birthday","Disco","Dancer","6017 Cordova, Philippines","yes","profile_images/cM3JBW1Qo6AAa3W1gvby1liJWBaG4Dgh6opVFrSw.jpg","500","3.00","0934342313123","10","breakdance","solo","Available","2025-01-02 22:29:18","2025-01-03 02:15:07"
"7","10","Wedding","Fairytale","Singer","Mandaue, Central Visayas, Philippines",NULL,"profile_images/a3PqOJ5CI696RVCUFgsycgPqtYwVR9TkBGAq1mDp.png","2500",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-02 22:36:00","2025-01-02 22:38:28"
"8","11","Birthday","Disco","Dancer","Cebu, Philippines","magaling gumiling","profile_images/7BJx8HeGxC4CXZRwtjwFT4QCFvHnDj4aJsVYCL4i.jpg","1500","1.00","091234567890","20","Any","solo","Available","2025-01-02 22:37:36","2025-01-06 16:34:48"
"9","12","Anniversary","Vintage","Dancer","Cebu, Philippines",NULL,"profile_images/QIQSvKM40ow7vxkONEcQU1oQkOZ4izkVGowdGh3A.jpg","2000",NULL,NULL,NULL,NULL,"solo","Available","2025-01-02 22:37:43","2025-01-02 22:40:15"
"10","13","Graduation","Academic Chic","Singer","Liloan, 6002 Central Visayas, Philippines",NULL,NULL,"2099",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-02 22:40:39","2025-01-02 22:41:21"
"11","15","Reunion","Highschool","Singer","Lapu-Lapu, 6016 Central Visayas, Philippines",NULL,"profile_images/46uU8j7NS4G8ybjdHgiBhTtgEruTUUk4MUidVqcG.png","2100",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-02 22:43:31","2025-01-02 22:45:09"
"12","16","Concert","Rock","Dancer","Basak Pardo, Cebu City, 6000 Central Visayas, Philippines",NULL,"profile_images/mSuXGpnMcExCV2Or4AlpT1L6X8s2RSWUJ4ORhJyJ.jpg","2500",NULL,NULL,NULL,NULL,"group","Available","2025-01-02 22:45:14","2025-01-02 22:47:43"
"13","18","Concert","Pop","Singer","Seoul, South Korea",NULL,"profile_images/NExLrsqbbFuAGgyxYHBM3mb4qkQnlmXh0vJSfMDb.jpg","1500","4.50","091231233212","15","Any","solo","Available","2025-01-06 15:16:17","2025-01-06 18:53:41"
"14","19","Concert","Pop","Singer","Seoul, South Korea",NULL,"profile_images/4KP1xiHoznkjh08gwNePHMtlDm3uKXmuivxhrjFp.jpg","2000","5.00","092342323423","15","Any","group","Available","2025-01-06 16:31:03","2025-01-06 16:37:09"
